Random seed, 29, forward time, 5.71525764465332, inference time, 1468.9888355731964, qp time, 126.03074359893799, backward_time, 14.451568365097046, epoch, 6
Random seed, 17, forward time, 5.4449639320373535, inference time, 1627.465568304062, qp time, 129.95808482170105, backward_time, 15.061350584030151, epoch, 6
Random seed, 16, forward time, 5.194721937179565, inference time, 1865.1567196846008, qp time, 130.6695432662964, backward_time, 14.510420322418213, epoch, 6
Random seed, 7, forward time, 8.534988641738892, inference time, 2084.6132707595825, qp time, 196.9715974330902, backward_time, 23.104929208755493, epoch, 10
Random seed, 28, forward time, 6.406731367111206, inference time, 2033.423728942871, qp time, 142.16782546043396, backward_time, 17.796733856201172, epoch, 6
Random seed, 21, forward time, 9.509140253067017, inference time, 2288.878653526306, qp time, 178.75719118118286, backward_time, 25.21058464050293, epoch, 9
Random seed, 10, forward time, 9.4518301486969, inference time, 2662.534787416458, qp time, 214.76147937774658, backward_time, 24.403025150299072, epoch, 10
Random seed, 2, forward time, 9.176149129867554, inference time, 2688.902478456497, qp time, 215.72964239120483, backward_time, 24.72312879562378, epoch, 11
Random seed, 5, forward time, 6.9733099937438965, inference time, 2709.980532646179, qp time, 174.45235753059387, backward_time, 19.476388692855835, epoch, 8
Random seed, 14, forward time, 12.676409482955933, inference time, 3178.104070186615, qp time, 312.1969962120056, backward_time, 35.7852246761322, epoch, 15
Random seed, 27, forward time, 11.189572811126709, inference time, 3145.0316376686096, qp time, 238.1504771709442, backward_time, 29.029059410095215, epoch, 11
Random seed, 30, forward time, 12.610354661941528, inference time, 3544.0650544166565, qp time, 300.7368538379669, backward_time, 33.1321587562561, epoch, 14
Random seed, 22, forward time, 14.40969443321228, inference time, 4059.5479345321655, qp time, 363.86454463005066, backward_time, 39.40645217895508, epoch, 18
Random seed, 11, forward time, 16.793163061141968, inference time, 4245.479309558868, qp time, 406.51501512527466, backward_time, 47.01115894317627, epoch, 19
Random seed, 20, forward time, 16.524717569351196, inference time, 4777.230350255966, qp time, 376.66470170021057, backward_time, 46.12722158432007, epoch, 17
Random seed, 4, forward time, 17.011674642562866, inference time, 4817.518425703049, qp time, 416.48132276535034, backward_time, 47.715336561203, epoch, 19
Random seed, 8, forward time, 20.18268847465515, inference time, 5158.369943380356, qp time, 392.5712380409241, backward_time, 51.73349213600159, epoch, 18
Random seed, 12, forward time, 15.905925035476685, inference time, 5312.958980560303, qp time, 379.5957508087158, backward_time, 44.423492193222046, epoch, 17
Random seed, 25, forward time, 17.639790534973145, inference time, 5540.467509269714, qp time, 393.8146343231201, backward_time, 46.15686917304993, epoch, 18
Random seed, 23, forward time, 18.99320387840271, inference time, 5695.566408395767, qp time, 422.79536414146423, backward_time, 50.78391456604004, epoch, 21
