Random seed, 12
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 8.344650268554687e-08, -1.8606528554643904, 0
validating, -1, -4.76837158203125e-08, -1.770123839378357, 0
testing, -1, -3.5762786865234374e-08, -1.8740113735198975, 0
training, 0, 1.0467927592141288, -2.9629499435424806, 0
validating, 0, 1.100762391090393, -2.8827844619750977, 0
testing, 0, 0.9535184264183044, -2.7436906814575197, 0
training, 1, 1.0241035665784564, -2.7715183768953597, 0
validating, 1, 1.0668035745620728, -2.6539088249206544, 0
testing, 1, 0.8934727072715759, -2.408936285972595, 0
training, 2, 1.005303372655596, -2.599578741618565, 0
validating, 2, 1.0237504243850708, -2.5735604763031006, 0
testing, 2, 0.8557770133018494, -2.318489909172058, 0
training, 3, 0.9569662877491543, -2.5302167040961128, 0
validating, 3, 0.9936999082565308, -2.5240429878234862, 0
testing, 3, 0.8305647969245911, -2.2892797946929933, 0
training, 4, 0.9188465561185565, -2.4892380475997924, 0
validating, 4, 0.9525285005569458, -2.4729140281677244, 0
testing, 4, 0.7887294888496399, -2.250870132446289, 0
training, 5, 0.8842376947402955, -2.42463241985866, 0
validating, 5, 0.9055513143539429, -2.3923152685165405, 0
testing, 5, 0.7551509737968445, -2.192441165447235, 0
training, 6, 0.857721369607108, -2.34575549193791, 0
validating, 6, 0.8810113787651062, -2.311779522895813, 0
testing, 6, 0.7668285012245178, -2.17406587600708, 0
training, 7, 0.8455871854509626, -2.2974414587020875, 0
validating, 7, 0.8452940344810486, -2.2681374073028566, 0
testing, 7, 0.7536417603492737, -2.1469563841819763, 0
training, 8, 0.8150878429412842, -2.2617140701838903, 0
validating, 8, 0.8022988677024842, -2.2111247301101686, 0
testing, 8, 0.7403969883918762, -2.140801799297333, 0
training, 9, 0.7877045120511736, -2.2300259964806695, 0
validating, 9, 0.7416853547096253, -2.1373175382614136, 0
testing, 9, 0.725437605381012, -2.122371017932892, 0
training, 10, 0.7353013822010586, -2.1575016941343037, 0
validating, 10, 0.685706102848053, -2.1000699043273925, 0
testing, 10, 0.6945780634880065, -2.1167107701301573, 0
training, 11, 0.7345966066632952, -2.118228564943586, 0
validating, 11, 0.6745541453361511, -1.9970274686813354, 0
testing, 11, 0.7007723212242126, -2.1044073820114138, 0
training, 12, 0.7061806338174003, -2.0613948379244125, 0
validating, 12, 0.6519895195960999, -1.8984065055847168, 0
testing, 12, 0.6920503616333008, -2.1178430318832397, 0
training, 13, 0.7064184359141759, -2.030747611182077, 0
validating, 13, 0.6242361664772034, -1.885856556892395, 0
testing, 13, 0.6842175364494324, -2.087186312675476, 0
training, 14, 0.6777672495160784, -2.0274488721575055, 0
validating, 14, 0.5880698323249817, -1.8606252908706664, 0
testing, 14, 0.6723145842552185, -2.0753325462341308, 0
training, 15, 0.6860827275684902, -2.0029985325677053, 0
validating, 15, 0.6340076327323914, -1.868827223777771, 0
testing, 15, 0.6945111393928528, -2.048072326183319, 0
training, 16, 0.7128909349441528, -2.002824081693377, 0
validating, 16, 0.6650508761405944, -1.8846759080886841, 0
testing, 16, 0.7475179076194763, -2.0730008602142336, 0
training, 17, 0.7431606394904, -1.9842414583478656, 0
validating, 17, 0.6366516709327698, -1.8557835340499877, 0
testing, 17, 0.7377470254898071, -2.042982077598572, 0
training, 18, 0.7509724957602365, -1.9841657536370414, 0
