Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -3.916876656668527e-08, -1.4104258673531669, 0.0
validating, -1, 5.960464477539063e-08, -1.3883486270904541, 0.0
testing, -1, -5.960464477539063e-09, -1.4188408613204957, 0.0
training, 0, 0.51571478503091, -1.4834443841661726, 0.0
validating, 0, 0.4788100242614746, -1.5246526956558228, 0.0
testing, 0, 0.465730082988739, -1.5031938314437867, 0.0
training, 1, 0.5041940808296204, -1.4746027878352574, 0.0
validating, 1, 0.46032090187072755, -1.4927143096923827, 0.0
testing, 1, 0.43861554861068724, -1.4694271206855773, 0.0
training, 2, 0.4726808633123125, -1.4523333651678902, 0.0
validating, 2, 0.42622061967849734, -1.4889869213104248, 0.0
testing, 2, 0.39732068181037905, -1.4823745489120483, 0.0
training, 3, 0.4116633670670646, -1.4996545280729021, 0.0
validating, 3, 0.36368656158447266, -1.4849432706832886, 0.0
testing, 3, 0.3292639970779419, -1.543972873687744, 0.0
training, 4, 0.33273918969290595, -1.5239642143249512, 0.0
validating, 4, 0.31111549139022826, -1.4871767520904542, 0.0
testing, 4, 0.27451547384262087, -1.6245460867881776, 0.0
training, 5, 0.27503452215875895, -1.5681351559502739, 0.0
validating, 5, 0.3074097990989685, -1.460518193244934, 0.0
testing, 5, 0.2535220324993134, -1.642519724369049, 0.0
training, 6, 0.25802820920944214, -1.5398215941020421, 0.0
validating, 6, 0.3122707009315491, -1.4565888166427612, 0.0
testing, 6, 0.2517512321472168, -1.6582364439964294, 0.0
training, 7, 0.24651905298233032, -1.5553795882633754, 0.0
validating, 7, 0.2787611484527588, -1.5415738821029663, 0.0
testing, 7, 0.26107953786849974, -1.7403584957122802, 0.0
training, 8, 0.23988763264247348, -1.5354991810662406, 0.0
validating, 8, 0.2894072890281677, -1.474048948287964, 0.0
testing, 8, 0.2521017253398895, -1.6578773140907288, 0.0
training, 9, 0.23575283970151628, -1.5359828676496232, 0.0
validating, 9, 0.28725782632827757, -1.455539083480835, 0.0
testing, 9, 0.24865682721138, -1.6339368939399719, 0.0
training, 10, 0.2317649143082755, -1.5491207940237863, 0.0
validating, 10, 0.27333592176437377, -1.471339464187622, 0.0
testing, 10, 0.24680895805358888, -1.6333161830902099, 0.0
training, 11, 0.22750779560634068, -1.5276824099676949, 0.0
validating, 11, 0.27122886180877687, -1.487598967552185, 0.0
testing, 11, 0.2500063180923462, -1.6495429635047913, 0.0
training, 12, 0.2265989967754909, -1.5479275465011597, 0.0
validating, 12, 0.2836450934410095, -1.4687565326690675, 0.0
testing, 12, 0.25043158531188964, -1.6535083413124085, 0.0
training, 13, 0.22349940708705357, -1.550256756373814, 0.0
validating, 13, 0.2747648358345032, -1.5394921779632569, 0.0
testing, 13, 0.2511557340621948, -1.6678911566734314, 0.0
training, 14, 0.22138034616197858, -1.5275136300495693, 0.0
validating, 14, 0.28193212747573854, -1.5007259130477906, 0.0
testing, 14, 0.24281228184700013, -1.6084702849388122, 0.0
training, 15, 0.21923932688576833, -1.5503259863172258, 0.0
validating, 15, 0.29886547327041624, -1.5025601863861084, 0.0
testing, 15, 0.24748554825782776, -1.6448310256004333, 0.0
training, 16, 0.2149249962397984, -1.5681326184953963, 0.0
validating, 16, 0.26784619092941286, -1.5465251445770263, 0.0
testing, 16, 0.23932215571403503, -1.6352852821350097, 0.0
training, 17, 0.21019958087376187, -1.534271400315421, 0.0
validating, 17, 0.2609692573547363, -1.6197358131408692, 0.0
testing, 17, 0.24302791953086852, -1.6841626167297363, 0.0
training, 18, 0.20287364550999232, -1.5298936094556537, 0.0
validating, 18, 0.2718402862548828, -1.539574146270752, 0.0
testing, 18, 0.2342389404773712, -1.6418152689933776, 0.0
training, 19, 0.1967460036277771, -1.5202762433460781, 0.0
validating, 19, 0.2486553430557251, -1.5808173418045044, 0.0
testing, 19, 0.2327587127685547, -1.6600741028785706, 0.0
training, 20, 0.19648066588810512, -1.5539235864366805, 0.0
validating, 20, 0.26129860877990724, -1.5615305185317994, 0.0
testing, 20, 0.22367701530456544, -1.6302893996238708, 0.0
training, 21, 0.1904542292867388, -1.522039144379752, 0.0
validating, 21, 0.2631619095802307, -1.5346806287765502, 0.0
testing, 21, 0.2218734085559845, -1.621121311187744, 0.0
training, 22, 0.1870234319141933, -1.5276594400405883, 0.0
validating, 22, 0.25666669607162473, -1.723621702194214, 0.0
testing, 22, 0.2406798541545868, -1.746035087108612, 0.0
training, 23, 0.1819295883178711, -1.5224949734551565, 0.0
validating, 23, 0.2475414276123047, -1.6798695564270019, 0.0
testing, 23, 0.23454482555389405, -1.7067222595214844, 0.0
training, 24, 0.18055989742279052, -1.5330983740942818, 0.0
validating, 24, 0.23237507343292235, -1.635494327545166, 0.0
testing, 24, 0.2320425033569336, -1.6644576072692872, 0.0
training, 25, 0.17313976287841798, -1.5126854487827845, 0.0
validating, 25, 0.23612898588180542, -1.71957266330719, 0.0
testing, 25, 0.24595344066619873, -1.7536900043487549, 0.0
training, 26, 0.17407462767192294, -1.5526295798165457, 0.0
validating, 26, 0.24865862131118774, -1.6372720003128052, 0.0
testing, 26, 0.22531230449676515, -1.6425780653953552, 0.0
training, 27, 0.1667096631867545, -1.5016313280378069, 0.0
validating, 27, 0.24625242948532106, -1.7852605342864991, 0.0
testing, 27, 0.2476685881614685, -1.754694139957428, 0.0
training, 28, 0.1656057153429304, -1.5399525097438267, 0.0
validating, 28, 0.24042093753814697, -1.656172800064087, 0.0
testing, 28, 0.23052728772163392, -1.6475029706954956, 0.0
training, 29, 0.15825774669647216, -1.5045194149017334, 0.0
validating, 29, 0.22697497606277467, -1.7540299415588378, 0.0
testing, 29, 0.25657778382301333, -1.7781549930572509, 0.0
training, 30, 0.16416909013475692, -1.537975801740374, 0.0
validating, 30, 0.2285640001296997, -1.746384596824646, 0.0
testing, 30, 0.25107684135437014, -1.7550427317619324, 0.0
training, 31, 0.15930679695946828, -1.5357586758477346, 0.0
validating, 31, 0.23178963661193847, -1.7503930568695067, 0.0
testing, 31, 0.24405348896980286, -1.743980634212494, 0.0
training, 32, 0.15952767814908708, -1.5399373940059118, 0.0
validating, 32, 0.24408570528030396, -1.798717188835144, 0.0
testing, 32, 0.2547201454639435, -1.7045095086097717, 0.0
training, 33, 0.15210005044937133, -1.5124450819832937, 0.0
validating, 33, 0.2439110040664673, -1.8527664184570312, 0.0
testing, 33, 0.2686190664768219, -1.7844039678573609, 0.0
training, 34, 0.15322106225149973, -1.5269227504730225, 0.0
validating, 34, 0.24408708810806273, -1.6656237840652466, 0.0
testing, 34, 0.2241828203201294, -1.5876032710075378, 0.0
training, 35, 0.15393213544573103, -1.5364570992333548, 0.0
validating, 35, 0.22983046770095825, -1.6885969638824463, 0.0
testing, 35, 0.2403499960899353, -1.6290392756462098, 0.0
training, 36, 0.1469785383769444, -1.5034803356443132, 0.0
validating, 36, 0.24378148317337037, -1.891967487335205, 0.0
testing, 36, 0.2784725069999695, -1.775934886932373, 0.0
training, 37, 0.14912167276654925, -1.5178774561200823, 0.0
validating, 37, 0.23726491928100585, -1.8372706413269042, 0.0
testing, 37, 0.2738127470016479, -1.799175751209259, 0.0
training, 38, 0.14815024648393904, -1.537619049208505, 0.0
validating, 38, 0.22633731365203857, -1.7795952320098878, 0.0
testing, 38, 0.2601174652576447, -1.7223080277442933, 0.0
training, 39, 0.14551269156592234, -1.519666654723031, 0.0
validating, 39, 0.23163394927978515, -1.7525209188461304, 0.0
testing, 39, 0.2567687213420868, -1.6894453525543214, 0.0
training, 40, 0.14436737980161393, -1.5353648015430996, 0.0
validating, 40, 0.2664707779884338, -1.9382973194122315, 0.0
testing, 40, 0.2809581995010376, -1.7662666201591493, 0.0
training, 41, 0.1463722126824515, -1.5279136555535453, 0.0
validating, 41, 0.23595643043518066, -1.8037414073944091, 0.0
testing, 41, 0.26529000997543334, -1.6847094655036927, 0.0
training, 42, 0.14128601891653877, -1.5074323041098459, 0.0
validating, 42, 0.23860963582992553, -1.8732286930084228, 0.0
testing, 42, 0.28275602459907534, -1.7418500900268554, 0.0
training, 43, 0.14486771140779767, -1.5345383746283394, 0.0
validating, 43, 0.26178927421569825, -1.9552550792694092, 0.0
testing, 43, 0.29519946575164796, -1.7936351537704467, 0.0
training, 44, 0.14595355987548828, -1.5206771407808577, 0.0
validating, 44, 0.2220073699951172, -1.7891963720321655, 0.0
testing, 44, 0.27478207349777223, -1.7167273879051208, 0.0
training, 45, 0.14066355058125088, -1.5202841452189855, 0.0
validating, 45, 0.24052515029907226, -1.9180273056030273, 0.0
testing, 45, 0.29128082394599913, -1.786188817024231, 0.0
training, 46, 0.14310925688062395, -1.512975365774972, 0.0
validating, 46, 0.25728424787521365, -1.932765245437622, 0.0
testing, 46, 0.2922935843467712, -1.7748310089111328, 0.0
training, 47, 0.14069452456065587, -1.5337444135120937, 0.0
validating, 47, 0.21845513582229614, -1.7803197383880616, 0.0
testing, 47, 0.2877244293689728, -1.715858781337738, 0.0
training, 48, 0.13774068696158273, -1.5151127985545567, 0.0
validating, 48, 0.22042441368103027, -1.78900043964386, 0.0
testing, 48, 0.2837372124195099, -1.7026224732398987, 0.0
training, 49, 0.13737782069614957, -1.5154390573501586, 0.0
validating, 49, 0.22251185178756713, -1.7650810718536376, 0.0
testing, 49, 0.2750531554222107, -1.6893548130989076, 0.0
training, 50, 0.1364176290375846, -1.5030120815549577, 0.0
validating, 50, 0.23601526021957397, -1.8383825302124024, 0.0
testing, 50, 0.29084296226501466, -1.7084368824958802, 0.0
training, 51, 0.13771158797400337, -1.506112153189523, 0.0
validating, 51, 0.22274627685546874, -1.8005059242248536, 0.0
testing, 51, 0.3021860420703888, -1.752799129486084, 0.0
training, 52, 0.13475066934313093, -1.5021460124424526, 0.0
validating, 52, 0.22398433685302735, -1.789319109916687, 0.0
testing, 52, 0.2801396071910858, -1.6914618492126465, 0.0
training, 53, 0.13546315261295863, -1.5247513702937534, 0.0
validating, 53, 0.2331221342086792, -1.6449877738952636, 0.0
testing, 53, 0.2156769573688507, -1.5676895380020142, 0.0
training, 54, 0.1344364779336112, -1.4848289353506905, 0.0
validating, 54, 0.20923230648040772, -1.6910470724105835, 0.0
testing, 54, 0.2707612693309784, -1.6767026901245117, 0.0
training, 55, 0.12608050107955932, -1.5003014189856394, 0.0
validating, 55, 0.25927271842956545, -1.986182975769043, 0.0
testing, 55, 0.3417944133281708, -1.8594470500946045, 0.0
training, 56, 0.13827205726078579, -1.4960434334618704, 0.0
validating, 56, 0.21132898330688477, -1.7564602851867677, 0.0
testing, 56, 0.29519741535186766, -1.7132466793060304, 0.0
training, 57, 0.13006552117211478, -1.5206218004226684, 0.0
validating, 57, 0.22663735151290892, -1.7856974601745605, 0.0
testing, 57, 0.28600236773490906, -1.685128355026245, 0.0
training, 58, 0.1284777249608721, -1.5042043788092476, 0.0
validating, 58, 0.2018812417984009, -1.6674203634262086, 0.0
testing, 58, 0.28017216324806216, -1.6540696978569032, 0.0
training, 59, 0.12755443368639266, -1.4885585512433732, 0.0
validating, 59, 0.2206475019454956, -1.776451539993286, 0.0
testing, 59, 0.28722342252731325, -1.6701119899749757, 0.0
training, 60, 0.12817600114004954, -1.5098786183765955, 0.0
validating, 60, 0.20744051933288574, -1.5853710651397706, 0.0
testing, 60, 0.2455950140953064, -1.559236478805542, 0.0
training, 61, 0.12759716851370675, -1.4971142939158848, 0.0
validating, 61, 0.2130486249923706, -1.7282335758209229, 0.0
testing, 61, 0.2879036843776703, -1.6886345744132996, 0.0
training, 62, 0.12029068299702235, -1.4759812218802315, 0.0
validating, 62, 0.228036630153656, -1.862863302230835, 0.0
testing, 62, 0.3160910546779633, -1.7372525572776794, 0.0
training, 63, 0.12479146889277867, -1.4975106069019863, 0.0
validating, 63, 0.20196856260299684, -1.6543009996414184, 0.0
testing, 63, 0.278322172164917, -1.630896008014679, 0.0
training, 64, 0.12112395252500262, -1.4858618531908308, 0.0
validating, 64, 0.23719313144683837, -1.913572359085083, 0.0
testing, 64, 0.33671348690986636, -1.8068193197250366, 0.0
training, 65, 0.12056722130094255, -1.4887999738965716, 0.0
validating, 65, 0.22550475597381592, -1.8212577104568481, 0.0
testing, 65, 0.3308051824569702, -1.7868173360824584, 0.0
training, 66, 0.12336860043661935, -1.483130407333374, 0.0
validating, 66, 0.21484432220458985, -1.7484225273132323, 0.0
testing, 66, 0.3010527193546295, -1.6923505425453187, 0.0
training, 67, 0.12167342560631889, -1.4813108376094273, 0.0
validating, 67, 0.20215151309967042, -1.6552557468414306, 0.0
testing, 67, 0.28252089619636533, -1.6222525477409362, 0.0
training, 68, 0.11766319104603358, -1.482393775667463, 0.0
validating, 68, 0.23173789978027343, -1.9008984565734863, 0.0
