mode, epoch, average loss, defender utility
training, -1, 0.673551755292075, nan
validating, -1, 0.9162499666213989, nan
testing, -1, 0.7938545763492584, nan
training, 0, 2.4923755168914794, -3.9246973991394043
validating, 0, 2.3751251697540283, -3.9230486869812013
testing, 0, 2.538292646408081, -3.922997307777405
mode, epoch, average loss, defender utility
training, -1, 0.3164131028311593, nan
validating, -1, 0.38669098615646363, nan
testing, -1, 0.302672877907753, nan
training, 0, 2.113880671773638, -3.94590482711792
validating, 0, 2.1083378076553343, -3.97367582321167
testing, 0, 2.1498661160469057, -4.006774926185608
mode, epoch, average loss, defender utility
training, -1, 0.7247334378106254, nan
validating, -1, 0.38922054767608644, nan
testing, -1, 0.6320583343505859, nan
training, 0, 2.9647721018110005, -5.945693520137242
validating, 0, 2.771097183227539, -5.907985401153565
testing, 0, 2.7846304893493654, -6.0085560321807865
mode, epoch, average loss, defender utility
training, -1, 0.05403800658615572, nan
validating, -1, 0.05870954692363739, nan
testing, -1, 0.041125161200761796, nan
training, 0, 1.0586341823850358, -2.639677653993879
validating, 0, 1.0691259264945985, -2.6275240421295165
testing, 0, 1.086764967441559, -2.634343481063843
mode, epoch, average loss, defender utility
training, -1, 0.30176163528646743, nan
validating, -1, 0.29569101333618164, nan
testing, -1, 0.29185437262058256, nan
training, 0, 2.0013405186789375, -4.969429997035435
validating, 0, 2.0981457233428955, -4.901543426513672
testing, 0, 1.9710691571235657, -5.091239070892334
mode, epoch, average loss, defender utility
training, -1, 0.673551755292075, nan
validating, -1, 0.9162499666213989, nan
testing, -1, 0.7938545763492584, nan
training, 0, 2.4923755168914794, -3.9246973991394043
validating, 0, 2.3751251697540283, -3.9230486869812013
testing, 0, 2.538292646408081, -3.922997307777405
mode, epoch, average loss, defender utility
training, -1, 0.3164131028311593, nan
validating, -1, 0.38669098615646363, nan
testing, -1, 0.302672877907753, nan
training, 0, 2.113880671773638, -3.94590482711792
validating, 0, 2.1083378076553343, -3.97367582321167
testing, 0, 2.1498661160469057, -4.006774926185608
mode, epoch, average loss, defender utility
training, -1, 0.7247334378106254, nan
validating, -1, 0.38922054767608644, nan
testing, -1, 0.6320583343505859, nan
training, 0, 2.9647721018110005, -5.945693520137242
validating, 0, 2.771097183227539, -5.907985401153565
testing, 0, 2.7846304893493654, -6.0085560321807865
mode, epoch, average loss, defender utility
training, -1, 0.05403800658615572, nan
validating, -1, 0.05870954692363739, nan
testing, -1, 0.041125161200761796, nan
training, 0, 1.0586341823850358, -2.639677653993879
validating, 0, 1.0691259264945985, -2.6275240421295165
testing, 0, 1.086764967441559, -2.634343481063843
mode, epoch, average loss, defender utility
training, -1, 0.30176163528646743, nan
validating, -1, 0.29569101333618164, nan
testing, -1, 0.29185437262058256, nan
training, 0, 2.0013405186789375, -4.969429997035435
validating, 0, 2.0981457233428955, -4.901543426513672
testing, 0, 1.9710691571235657, -5.091239070892334
