mode, epoch, average loss, defender utility
training, -1, 1.4541585070746286, -2.5439905984061104
validating, -1, 1.3497889399528504, -2.639277458190918
testing, -1, 1.2110233187675477, -2.5342236280441286
training, 0, 3.225777496610369, -2.633370392663138
validating, 0, 3.3573114395141603, -2.7699583053588865
testing, 0, 3.237885284423828, -2.7010406255722046
mode, epoch, average loss, defender utility
training, -1, 0.3207774877548218, -5.799205759593419
validating, -1, 0.3236257076263428, -5.997249603271484
testing, -1, 0.30967158675193784, -6.095992136001587
training, 0, 2.325723079272679, -6.746490587506975
validating, 0, 2.2835389614105224, -6.80055513381958
testing, 0, 2.234688937664032, -6.751321411132812
mode, epoch, average loss, defender utility
training, -1, 0.43876155955450874, -4.652041217258998
validating, -1, 0.3652029871940613, -4.799275016784668
testing, -1, 0.3952247858047485, -4.573939800262451
training, 0, 2.3967683928353445, -5.278164659227643
validating, 0, 2.2852971076965334, -5.478508186340332
testing, 0, 2.3893301486968994, -5.151231098175049
mode, epoch, average loss, defender utility
training, -1, 1.1696518182754516, -2.5355776718684604
validating, -1, 1.0460345029830933, -2.5668584525585176
testing, -1, 1.2621922254562379, -2.1726749509572985
training, 0, 3.47110242162432, -4.206716081074306
validating, 0, 3.4023891925811767, -4.214789009094238
testing, 0, 3.5256773233413696, -4.204215168952942
mode, epoch, average loss, defender utility
training, -1, 0.956469578402383, -3.4252812304667066
validating, -1, 1.4493696689605713, -3.283247447013855
testing, -1, 1.32383736371994, -4.197830986976624
training, 0, 2.7061344691685267, -4.776784896850586
validating, 0, 3.1613176345825194, -4.836884498596191
testing, 0, 2.9127910852432253, -4.8283227443695065
