mode, epoch, average loss, defender utility
training, -1, 0.09333034647362573, -2.905528310367039, 0.0
validating, -1, 0.09655080437660217, -2.8682090759277346, 0.0
testing, -1, 0.11740146577358246, -2.956540846824646, 0.0
training, 0, 0.9218157087053571, -3.8927434512547086, 0.0
validating, 0, 0.7833836555480957, -3.8242802143096926, 0.0
testing, 0, 0.8689500868320466, -3.916521668434143, 0.0
training, 1, 0.9661032353128706, -3.932304232461112, 0.0
validating, 1, 0.8244811296463013, -3.838953638076782, 0.0
testing, 1, 0.9267882466316223, -3.928667402267456, 0.0
training, 2, 1.0426329272133963, -3.9235305649893624, 0.0
validating, 2, 1.0515596270561218, -3.8636788845062258, 0.0
testing, 2, 1.2046522736549377, -3.994043779373169, 0.0
training, 3, 1.3937971251351493, -3.9584257534572056, 0.0
validating, 3, 1.089396333694458, -3.785427188873291, 0.0
testing, 3, 1.3122308254241943, -3.9234456062316894, 0.0
training, 4, 1.7102164030075073, -3.8781660148075647, 0.0
validating, 4, 1.5379715442657471, -3.6472965717315673, 0.0
testing, 4, 1.9373261094093324, -3.7622209548950196, 0.0
training, 5, 1.8255680220467703, -3.7426574979509626, 0.0
validating, 5, 1.298098087310791, -3.6559885025024412, 0.0
testing, 5, 1.612424635887146, -3.6265016555786134, 0.0
training, 6, 1.9598220859255109, -3.5786150659833638, 0.0
validating, 6, 1.7054991006851197, -3.501989984512329, 0.0
testing, 6, 2.070864760875702, -3.4594156980514525, 0.0
training, 7, 1.9296676124845231, -3.539677722113473, 0.0
validating, 7, 1.6894744873046874, -3.521257734298706, 0.0
testing, 7, 1.9690682530403136, -3.390089249610901, 0.0
training, 8, 1.9013032572610038, -3.4587191581726073, 0.0
validating, 8, 1.2107542037963868, -3.6247575283050537, 0.0
testing, 8, 1.5477406978607178, -3.4843335151672363, 0.0
training, 9, 2.0907782673835755, -3.4474009581974574, 0.0
validating, 9, 1.5024591922760009, -3.4774226188659667, 0.0
testing, 9, 1.8571642279624938, -3.4325539112091064, 0.0
training, 10, 1.9203511783054896, -3.5072102887289867, 0.0
validating, 10, 1.544038438796997, -3.4960739612579346, 0.0
testing, 10, 1.8188494205474854, -3.4163486480712892, 0.0
training, 11, 1.849192864554269, -3.452542196001325, 0.0
validating, 11, 2.032738733291626, -3.2740565299987794, 0.0
testing, 11, 2.320250999927521, -3.3057315826416014, 0.0
training, 12, 2.271246026243482, -3.343231085368565, 0.0
validating, 12, 1.233788514137268, -3.289330339431763, 0.0
testing, 12, 1.4060331404209137, -3.0957828998565673, 0.0
training, 13, 1.6326857498713903, -3.1534842695508685, 0.0
validating, 13, 1.3637762069702148, -3.447943639755249, 0.0
testing, 13, 1.23347709774971, -3.0831871032714844, 0.0
training, 14, 1.6131240299769811, -3.1430247715541295, 0.0
validating, 14, 1.390273380279541, -3.274472141265869, 0.0
testing, 14, 1.407228523492813, -3.049245238304138, 0.0
training, 15, 1.5738409348896572, -3.1237952845437187, 0.0
validating, 15, 1.4149649620056153, -3.2026022911071776, 0.0
testing, 15, 1.4959793150424958, -3.047181582450867, 0.0
training, 16, 1.6729727029800414, -3.1097568920680456, 0.0
validating, 16, 1.3474897861480712, -3.231861925125122, 0.0
testing, 16, 1.389267247915268, -3.0520264863967896, 0.0
training, 17, 1.519256683758327, -3.1182944570268902, 0.0
validating, 17, 1.3891005277633668, -3.2228501796722413, 0.0
testing, 17, 1.4596004068851471, -3.046975255012512, 0.0
training, 18, 1.659326127597264, -3.102820498602731, 0.0
validating, 18, 1.3095462799072266, -3.2186841487884523, 0.0
testing, 18, 1.384213489294052, -3.062310075759888, 0.0
training, 19, 1.5329738991601127, -3.1157143524714876, 0.0
validating, 19, 1.35801260471344, -3.2232946395874023, 0.0
testing, 19, 1.4519099295139313, -3.045540714263916, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.23674508460930416, -2.3363182715007236, 0.0
validating, -1, 0.17004800140857695, -2.3399281978607176, 0.0
testing, -1, 0.23673986941576003, -2.429605722427368, 0.0
training, 0, 7.347967447553362, -3.3078987257821217, 0.0
validating, 0, 7.581079292297363, -3.54446702003479, 0.0
testing, 0, 7.091552305221557, -3.3223655939102175, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.18092185032687016, -2.3774410162653243, 0.0
validating, -1, 0.18817995488643646, -2.825343656539917, 0.0
testing, -1, 0.12959243953227997, -2.282868707180023, 0.0
training, 0, 8.624770001002721, -7.171314076014927, 0.0
validating, 0, 9.008354568481446, -7.441467571258545, 0.0
testing, 0, 8.32827649116516, -7.192290163040161, 0.0
training, 1, 1.7383509942463466, -3.7409448283059255, 0.0
validating, 1, 1.2296929836273194, -3.4922009468078614, 0.0
testing, 1, 1.3599043011665344, -3.4898701667785645, 0.0
training, 2, 1.3684129749025618, -3.494217027936663, 0.0
validating, 2, 1.2296904563903808, -3.4922008991241453, 0.0
testing, 2, 1.359901487827301, -3.4898706912994384, 0.0
training, 3, 1.3684114898954118, -3.4942172254834856, 0.0
validating, 3, 1.2296899795532226, -3.492200803756714, 0.0
testing, 3, 1.3599008083343507, -3.4898707389831545, 0.0
training, 4, 1.3684108529772077, -3.494217164175851, 0.0
validating, 4, 1.229689598083496, -3.4922006607055662, 0.0
testing, 4, 1.3599003911018372, -3.489870619773865, 0.0
training, 5, 1.368410222870963, -3.494217266355242, 0.0
validating, 5, 1.2296892881393433, -3.4922014713287353, 0.0
testing, 5, 1.359899878501892, -3.4898707628250123, 0.0
training, 6, 1.3684095927647182, -3.4942175933292936, 0.0
validating, 6, 1.2296889543533325, -3.492201042175293, 0.0
testing, 6, 1.3598992586135865, -3.4898709774017336, 0.0
training, 7, 1.368408969470433, -3.494217416218349, 0.0
validating, 7, 1.2296884059906006, -3.4922018527984617, 0.0
testing, 7, 1.3598987102508544, -3.4898715257644652, 0.0
training, 8, 1.3684083529881068, -3.4942172391074044, 0.0
validating, 8, 1.2296880960464478, -3.4922008991241453, 0.0
testing, 8, 1.3598982214927673, -3.4898712158203127, 0.0
training, 9, 1.3684076615742276, -3.4942174434661863, 0.0
validating, 9, 1.229687786102295, -3.492201328277588, 0.0
testing, 9, 1.3598975658416748, -3.4898712158203127, 0.0
training, 10, 1.3684071029935565, -3.494217429842268, 0.0
validating, 10, 1.2296873092651368, -3.492201232910156, 0.0
testing, 10, 1.3598973035812378, -3.48987078666687, 0.0
training, 11, 1.3684065648487636, -3.494217334474836, 0.0
validating, 11, 1.2296870708465577, -3.4922014236450196, 0.0
testing, 11, 1.359896755218506, -3.4898711681365966, 0.0
