mode, epoch, average loss, defender utility
training, -1, 1.6450147935322352, -3.1405808097549848
validating, -1, 1.5713449478149415, -3.3583439588546753
testing, -1, 1.400369691848755, -2.793273222446442
training, 0, 3.8728242533547537, -4.7491715158735
validating, 0, 3.572676181793213, -4.853028297424316
testing, 0, 3.786456990242004, -4.791579151153565
mode, epoch, average loss, defender utility
training, -1, 1.1932674646377563, -2.5165377531732833
validating, -1, 1.2544135332107544, -2.0952411890029907
testing, -1, 0.9566295742988586, -2.6778809785842896
training, 0, 2.3100001880100796, -2.5399517399924143
validating, 0, 2.4558714866638183, -2.607358455657959
testing, 0, 2.4056329488754273, -2.5658668994903566
mode, epoch, average loss, defender utility
training, -1, 0.9166205167770386, -4.46114901133946
validating, -1, 1.04081130027771, -5.390783596038818
testing, -1, 0.8623396158218384, -3.690240716934204
training, 0, 2.885893283571516, -6.12687485558646
validating, 0, 2.9151973724365234, -6.251845073699951
testing, 0, 2.8662952899932863, -6.157482528686524
mode, epoch, average loss, defender utility
training, -1, 1.2804235322134836, -3.21359278346811
validating, -1, 1.2664019107818603, -2.7798907943069935
testing, -1, 1.3977278232574464, -3.347648811340332
training, 0, 3.44259751864842, -4.112136173248291
validating, 0, 3.3618565082550047, -4.009630823135376
testing, 0, 3.5028521060943603, -4.097081351280212
mode, epoch, average loss, defender utility
training, -1, 1.5459091441971915, -2.274783303056516
validating, -1, 1.687761902809143, -1.6652604102586337
testing, -1, 1.6624573349952698, -2.359088608622642
training, 0, 3.2723822593688965, -1.7580847569874354
validating, 0, 3.3743372917175294, -1.6983622074127198
testing, 0, 3.238095998764038, -1.7503130674362182
